Class,Count,Accuracy,Precision,Recall,F1 Score,AUC
tench,0,0.9439490445859873,0.7719869706840391,0.6124031007751938,0.6829971181556196,0.9173645163693411
english_springer,0,0.9131210191082803,0.5906040268456376,0.44556962025316454,0.5079365079365079,0.873706745078352
cassette_player,0,0.9276433121019109,0.658008658008658,0.4257703081232493,0.5170068027210885,0.8922683423145044
chain_saw,0,0.9044585987261147,0.5774647887323944,0.10621761658031088,0.17943107221006566,0.7162081440411581
church,0,0.9080254777070064,0.5857142857142857,0.40097799511002447,0.4760522496371553,0.8561281852293811
french_horn,0,0.9064968152866242,0.5882352941176471,0.22842639593908629,0.3290676416819013,0.8207831433553716
garbage_truck,0,0.9187261146496816,0.6881720430107527,0.32904884318766064,0.44521739130434784,0.8569353487885167
gas_pump,0,0.8881528662420383,0.43333333333333335,0.15513126491646778,0.22847100175746923,0.7458880582485939
golf_ball,0,0.9077707006369427,0.5893719806763285,0.3057644110275689,0.40264026402640263,0.8352091232050631
parachute,0,0.9378343949044586,0.7517241379310344,0.558974358974359,0.6411764705882353,0.9096920900881297
tench,1,0.944968152866242,0.77491961414791,0.6227390180878553,0.6905444126074498,0.9211528433267163
english_springer,1,0.9138853503184713,0.6144578313253012,0.38734177215189874,0.4751552795031056,0.8695614444006167
cassette_player,1,0.9256050955414012,0.6190476190476191,0.4733893557422969,0.5365079365079365,0.8802889990076749
chain_saw,1,0.9019108280254777,0.5063291139240507,0.10362694300518134,0.17204301075268819,0.738599645402012
church,1,0.9070063694267516,0.6009174311926605,0.3202933985330073,0.4178628389154705,0.8450951431249669
french_horn,1,0.9021656050955414,0.5337837837837838,0.20050761421319796,0.2915129151291513,0.8202957992084611
garbage_truck,1,0.9194904458598726,0.6729857819905213,0.36503856041131105,0.47333333333333333,0.8571076492689225
gas_pump,1,0.8965605095541401,0.5460992907801419,0.18377088305489261,0.275,0.7700750299180266
golf_ball,1,0.9075159235668789,0.5865384615384616,0.3057644110275689,0.40197693574958815,0.8263533194870328
parachute,1,0.938343949044586,0.796,0.5102564102564102,0.621875,0.908905813658289
tench,2,0.9406369426751592,0.7361963190184049,0.6201550387596899,0.6732117812061711,0.9193116302440977
english_springer,2,0.9092993630573248,0.5635179153094463,0.4379746835443038,0.4928774928774929,0.8709477534334996
cassette_player,2,0.9215286624203821,0.5904059040590406,0.4481792717086835,0.5095541401273885,0.8774454849204256
chain_saw,2,0.9057324840764331,0.6,0.12435233160621761,0.20600858369098712,0.7352527791727119
church,2,0.9121019108280255,0.6495327102803738,0.33985330073349634,0.4462279293739968,0.8510198575286987
french_horn,2,0.8912101910828025,0.44625407166123776,0.3477157360406091,0.3908701854493581,0.824109734375876
garbage_truck,2,0.9205095541401274,0.6533864541832669,0.42159383033419023,0.5125,0.8557205213507195
gas_pump,2,0.8878980891719745,0.4426229508196721,0.19331742243436753,0.2691029900332226,0.748896198402466
golf_ball,2,0.9092993630573248,0.6038647342995169,0.3132832080200501,0.41254125412541254,0.8372036159599227
parachute,2,0.9368152866242038,0.7414965986394558,0.558974358974359,0.6374269005847953,0.9076632938019077
tench,3,0.9444585987261146,0.800711743772242,0.5813953488372093,0.6736526946107785,0.9198316396510093
